Keyword;Count
transplantation (surgical);1
binary classifiers;3
content-based image retrieval;2
content-based video retrieval;1
minimally invasive;1
minimally invasive surgery;2
query refinement;1
relevance feedback;1
categorical attributes;1
classification results;6
counerfactual explanations;1
domain constraint;1
range constraints;1
pilot studies;2
student attitudes;1
user modeling;4
intelligence communities;2
matchings;2
neural-networks;51
requirement analysis;1
source depths;1
three dimensions;2
cognitive agents;2
cognitive appraisal;1
metadata;5
program diagnostics;1
regression analysis;17
vibration analysis;1
bearing fault diagnosis;1
classifier performance;3
data preprocessing;1
diagnosis algorithms;1
fault diagnosis model;1
filtration methods;1
statistical feature extractions;1
transformation coefficients;1
fault detection;6
device failure analysis;1
vibration;1
equipment failure analysis;1
defects;4
quality assurance;4
software quality;2
defect prediction models;3
qualitative surveys;2
software data;1
software defect prediction;1
software defects;2
beneficial effects;1
human comprehensions;1
human learning;1
two person game;1
complex decision;2
home environment;2
human environment;2
manipulation task;1
robotic systems;3
unexpected failures;1
user assistance;1
feature selection;7
ophthalmoscopy;1
retinal nerve fiber layer;1
number theory;1
accelerometer data;2
condition numbers;1
damage prediction;1
damaged beam;2
extensive testing;1
steel beams;1
ground truth;10
maintenance;2
explanation-awareness;1
introspection;1
predictive maintenance;6
rul;1
times series;8
aggregation strategy;1
behavior patterns;1
credit card fraud detections;2
financial companies;1
linear regression models;2
dirty data;1
model construction;2
technical details;1
kinematics;4
neuromuscular rehabilitation;1
automated assessment;3
personalizations;5
rehabilitation exercise;2
stroke rehabilitation;3
upper-limb rehabilitation;1
bridges;2
fraud detection;6
operational aspects;1
scenario-based design;1
abstract framework;2
agent based;4
agent-oriented;1
formal framework;3
still missing;2
semantic web technology;3
decision performance;1
human reasoning;4
position papers;4
automobile drivers;1
collaborative filtering;1
factorization;3
information retrieval;2
information retrieval systems;4
safety devices;4
websites;2
automatic driving system;1
explainable recommendation;6
explainable search;3
information sources;1
item-based collaborative filtering;1
matrix factorizations;3
representation model;1
research and application;1
public risks;1
human robot interaction (hri);2
hospitals;3
pattern recognition;18
topology;3
accuracy and precision;1
chaotics;1
critical case;1
databanks;1
emergency measures;1
neural network clustering;1
quantitative and qualitative analysis;2
self-organizing-maps;1
times series models;1
integration;2
knowledge graph;9
explainable system;1
neuro-symbolic integration;1
sub-symbolic;5
subsymbolic ai;1
symbolic ai;1
symbolic integration;1
comminution;1
grinding (machining);1
iron ores;1
particle size;2
high pressure grinding rolls;1
operational variables;1
particle properties;1
particles sizes;1
powder technology;1
roller speed;1
working gap;1
clinical study;1
deterioration;2
hepatitis;3
k fold cross validation;2
logistic regression analysis;3
prognosis;6
risk assessment;10
survival;1
treatment outcome;2
combined system;1
decision accuracies;2
decision time;1
evaluation methodologies;1
specific properties;2
transaction data;2
features selection;8
solution concepts;1
transferable utility games;1
variables selections;1
design implications;2
driving behavior;1
driving simulator;1
real-world experience;1
system behaviors;7
thematic analysis;1
cultural heritages;1
cameras;1
vehicles;6
artificial intelligence algorithms;6
automated vehicles;2
detection algorithm;3
detection performance;1
environmental conditions;3
object detection algorithms;1
precise modeling;1
relative rotation;1
insulin;1
wearable computers;1
blood glucose level;1
blood glucose management;1
heart rate variability;1
hypoglycemia detections;1
modeling decisions;11
physiological measures;1
proof of concept;10
probabilistic programming;1
extremal;1
fault localization;4
high quality;5
image classifiers;12
minimal subset;1
lymph node;1
lymph nodes;1
lymphatic metastasis;2
models, biological;2
linear matrix inequalities;1
european project;1
job opportunities;1
labor markets;1
labour market;1
number of peoples;1
visual languages;5
contextual importance;3
contextual utility;2
contrastive explanations;2
commercialisation;2
feature models;1
integral part;4
learning techniques;9
neighbourhood;6
netflix;1
recurrent neural network architectures;1
a right to explanation;1
gdpr;1
informational privacies;1
online privacy;1
ultrasonic applications;2
urology;2
automated classification;1
cancer classification;5
feature extractor;1
fusion model;1
mri image;2
prostate cancers;1
survival rate;2
ultrasound images;1
causal modeling;7
evaluation;7
method;1
visual model;1
adalimumab;2
cholesterol;1
cyclic citrullinated peptide antibody;1
disease modifying antirheumatic drug;1
etanercept;2
golimumab;1
infliximab;1
methotrexate;1
prednisolone;1
tocilizumab;1
tofacitinib;1
triacylglycerol;1
tumor necrosis factor inhibitor;1
antirheumatic agent;2
biological product;1
cholesterol blood level;1
comorbidity;3
disease activity;1
disease duration;1
erythrocyte sedimentation rate;1
remission;1
retrospective study;12
rheumatoid arthritis;2
triacylglycerol blood level;1
antirheumatic agents;1
arthritis, rheumatoid;1
biological products;1
membership functions;4
critical thinking;2
if-then rules;3
mamdani;1
multi-step approaches;1
rule based fuzzy systems;1
set of rules;2
biological organs;2
chest x-ray;7
chest x-ray image;3
f1 scores;2
image database;1
lung segmentation;2
segmented images;1
semantic segmentation;5
quality control;22
counterfactual explanation;30
counterfactual reasoning;3
research problems;4
user designers;1
accountability framework;1
human decisions;6
service provider;1
life cycle;3
network security;14
evaluation modules;1
functional modules;1
informed decision;3
intrusion detection and prevention systems;1
malicious activities;2
network traffic;1
viruses;2
ensemble of convolutional neural network;1
heatmaps;10
lung infection;1
neural network modelling;1
pneumonia;5
small data set;1
cardiovascular disease;3
heartbeat classifications;1
human–ai interface;1
local model;7
model-agnostic method;1
conceptual framework;2
data classification;1
evaluation study;1
heart beat;1
heart ventricle extrasystole;1
jaccard index;1
model agnostic method;1
statistical model;3
taxonomy;1
usability;1
heart rate;4
tumors;4
brain tumor segmentation;1
brain tumors;1
diagnostic procedure;1
medical image segmentation;1
segmentation models;2
tumour detection;1
visual interpretability;1
brain tumor;3
brain neoplasms;2
data manifolds;1
image data;4
novel methods;2
recent progress;2
test images;1
benchmark evaluation;1
scientific progress;1
automated applications;1
chest x-rays;3
security and privacy;1
wisconsin;1
functional abilities;1
intelligent decision support systems;2
quantitative information;1
traditional systems;1
text data;2
attention mechanisms;8
memory slots;1
neural memory;1
overall quality;1
structural equation modeling;1
textual data;2
user-generated content;1
community researches;1
computing system;1
hot topics;4
human-computer interaction researches;1
normal distribution;1
difference method;1
multi-scale approaches;1
multiscale method;1
multiscale segmentation;1
region based approach;1
segmented regions;1
atomic propositions;1
binary search;1
boolean formulae;1
hamming space;1
sparse learning;1
worst-case complexity;1
annotation tool;3
semi-supervised active learning;1
akaike information criterion;1
learning process;4
nominal attributes;1
affect recognition;1
behavioral observation;1
human-agent teams;3
nearest-neighbor approaches;1
nonparametric methods;1
benchmark;2
relation network;1
visual question answering;2
graphic methods;5
knowledge management;11
object detection;9
compositionality;1
expert knowledge;7
expert knowledge graph;1
neural-symbolic learning;1
part based;2
part-based object detection and classification;1
classification;1
data set;14
failure (mechanical);4
data extraction;1
explainable deep learning;2
management is;2
meta-analysis;2
preferred reporting item for systematic review and meta-analyze;1
prognostic and health management;1
sensing and data extraction;1
earthquakes;2
mapping;7
collapsed buildings;1
earthquake building damage;1
feature descriptors;1
redundant features;2
remote sensing images;1
buildings;1
earthquake;1
reproducibility;7
energy utilization;4
urban transportation;1
data-driven approach;4
high degree of accuracy;1
household travel surveys;1
sustainability policy;1
traffic analysis zones;1
transportation energy consumption;1
energy planning;1
energy use;2
household energy;1
transportation;1
transportation planning;1
blogs;1
social networking (online);15
entity detection;1
features extraction;18
media monitoring;1
medium;1
medium monitoring with explainable artificial intelligence-;1
black box modelling;42
criminal justice;5
data analysts;1
model interpretability;4
tabular data;5
entity matching;3
extensible framework;1
imbalanced class;1
learning approach;6
quadratic programming;1
linear relationships;2
optimization problems;2
quadratic programs;1
robust algorithm;1
unreliable machine;1
nonparametric test;1
proportional hazards model;2
proportional hazards models;1
statistics, nonparametric;1
academic performance;3
benchmark models;1
budapest university;1
college students;1
higher education;1
undergraduate program;1
research laboratories;3
computer aided diagnosis systems;4
lung cancer;6
suspicious objects;2
training phase;1
embedding;3
hamartoma;1
histogram;2
lung infarction;1
lung nodule;3
lung tuberculosis;1
post hoc analysis;1
vocabulary;2
computer;2
language;2
lung tumor;1
fuzzy rules;6
complex task;2
fuzzy rule-based classifier;4
computer circuits;20
fuzzy systems;14
linguistics;7
designing systems;1
fuzzy logic system;3
interval type-2 fuzzy;1
linguistic terms;1
type reduction;1
after action review;3
human agent;8
military organizations;2
qualitative study;3
reinforcement learning agent;8
sequential decision making;4
ai techniques;14
fake detection;4
government is;1
out-of-control;1
salient regions;3
computational methods;4
medical robotics;2
robotics;16
level of autonomies;1
medical health;1
patients with dementia;1
real time sensing;1
real-time data;1
feedforward neural networks;3
business applications;1
complex architectures;1
complex factors;1
integrated approach;1
massive computing;1
effective interactions;1
human agent interactions;5
interaction studies;1
test data;1
user groups;3
extrapolation;2
confidence levels;2
data points;1
domain analysis;2
high-level rules;1
human lives;8
input-output relations;1
warning lights;1
information use;14
decision information;1
problem-based;1
complexity measures;1
feature interactions;2
functional decomposition;1
interaction strength;1
interpretation of models;1
model complexity;2
conversation analysis;1
human communications;1
human-agent communication;1
trust in technologies;2
wizard of oz;2
high dimensional feature;1
importance map;4
uncertainty quantifications;2
program translators;1
digital revolution;1
machine intelligence;4
online domains;1
smart technology;2
sub-symbolic approach;3
fuzzy relations;2
clinical measurements;1
disease diagnosis;5
imaging task;2
patient prognosis;1
back propagation;2
clinical assessment;1
clinical evaluation;2
pandemic;8
treatment indication;1
pandemics;4
depressive symptom;2
feature based approaches;2
information channels;1
linear discriminants;1
on-line information;1
recurrent neural network (rnn);3
agent behavior;4
delayed rewards;1
global behaviors;2
global informations;1
improve performance;3
local information;2
2',5' oligoadenylate synthetase 3;1
alprazolam;1
aluminum hydroxide;1
azacitidine;1
capsaicin;1
cetuximab;1
chromosome 15 open reading frame 48 protein;1
danazol;1
dexd h box helicase 60;1
glucosamine;1
heparin binding epidermal growth factor;1
hephaestin like protein 1;1
interferon;1
interferon alpha inducible protein 6;1
interferon induced protein with tetratricopeptide repeats 1;1
interferon induced protein with tetratricopeptide repeats 3;1
interferon regulatory factor 9;1
interleukin 1 receptor associated kinase 2;1
interleukin 17;1
interleukin 1beta;1
interleukin 36 gamma;1
interleukin 8;1
isg15 ubiquitin like modifier;1
leukemia inhibitory factor;1
myxovirus influenza resistance 1 protein;1
paclitaxel;1
pamidronic acid;1
panitumumab;1
pentamidine;1
peptidoglycan recognition protein 4;1
poly adp ribose polymerase family member 9;1
protein;1
rilonacept;1
risedronic acid;2
serum amyloid a2;1
talc;1
tiludronic acid;1
tnfaip3 interacting protein 1;1
tumor necrosis factor alpha induced protein 3;1
unclassified drug;1
ustekinumab;1
a-549 cell line;1
airway epithelium cell;1
antiviral activity;1
bronchus epithelium;1
differential expression analysis;1
differential gene expression;1
drug repositioning;1
gene identification;2
interleukin signaling;1
kegg;1
learning algorithm;4
lung epithelium;1
molecular pathology;1
pathogenicity;1
type i interferon signaling;1
nearest neighbors;1
cognitive systems;9
first impressions;2
observed systems;1
observing systems;1
ordering effects;1
facebook;3
algorithmics;20
bayesian;1
bayesian reasoning;1
knowledge reasoning;3
pressung;2
prior-knowledge;4
verification and validation methods;1
records management;2
artificial intelligence methods;9
glass box;4
large-scales;4
beam search;2
bottom up;3
image captioning;5
interactive images;1
re-ranking;1
counts-as;1
philosophy of science;3
social practices;4
electric load shedding;1
power control;2
emergency control;2
grid control;1
modeling decision makings;2
open source platforms;1
safety-related;1
under voltage load shedding;1
knowledge representation;18
argumentation model;1
based reasonings;1
brain mri images;1
declarative knowledge;1
imaging structure;1
verification;2
combinatorial method;1
combinatorial testing;2
prototype tools;1
simple schemes;1
complex algorithms;3
exploratory studies;3
performance data;1
physical conditions;1
quantitative assessments;3
fatigue testing;2
industrial machinery;1
operational conditions;1
predictor variables;1
process knowledge;1
software as a service (saas);2
classification datasets;3
fuzzy decision trees;4
fuzzy sets and systems;1
graphical visualization;1
intelligent classifiers;1
boosting classifiers;2
imbalanced data-sets;2
imbalanced dataset;1
imbalanced dataset problems;1
performance and reliabilities;1
synthetic minority over-sampling techniques;2
gaussian noise (electronic);2
heuristic methods;4
computer assisted;1
heuristic techniques;2
localization ambiguity;1
time constraints;1
critical and sensitive areas;1
data volume;1
over reliance;1
linearization;1
multi-task learning;1
vectors;2
joint learning;1
latent vectors;1
summary generation;1
two ways;1
behaviour changes;3
cognitive agent architecture;1
trusted relationships;2
university students;2
virtual agent;2
framework;1
legal restriction;1
on currents;1
recent trends;1
social interactions;2
speech acts;2
bayesian networks;4
bayesian analysis;1
bayesian methods;1
management decisions;2
predictive accuracy;6
resource utilizations;1
smart agricultures;4
computer interaction;1
data protection act;1
human-centered computing;3
logistic regressions;1
scikit-learn;1
software engineering methods;1
trade-off analysis;1
autonomy;1
meta analysis;2
statistical datas;2
risk perception;5
degree of autonomy;1
multi-modal interfaces;2
multimodal output;1
parallel processing systems;2
argumentation theory;6
automatic inference;1
defeasible argumentation;1
fuzzy reasoning;2
non-monotonic fuzzy reasoning;1
non-monotonic reasoning;4
theoretical research;1
cluster analysis;10
landforms;1
fine-scale;1
land cover;2
random forest modeling;4
shap value;7
spatiotemporal variability;1
urban heat island;1
urban heat island intensities;1
multiple linear regression;1
air temperature;3
comparative study;4
heat island;1
linear programing;1
geometry;3
land use;3
response variable;1
weather;1
temperature;2
linear models;1
ophthalmology;7
class activation mapping;2
fundus image;3
histogram equalizations;1
hybrid solution;1
computer crime;4
cybersecurity;5
internet of things;6
ensemble trees;1
explanation ai (xai);1
intrusion detection system;1
system methods;1
computer security;2
accuracy;7
cancer surgery;1
electronic medical record;2
traumatic brain injury;1
validation study;2
autonomous vehicles;6
interpretable neural network;2
cyber threats;1
internet of medical thing;2
security experts;1
security solutions;1
smart healthcare systems;1
threat detection;1
trust level;1
fine tuning;4
high-precision;2
object location;1
realistic scenario;2
task models;1
probability distributions;1
automated interpretation;1
binary classification approach;1
clinical classification;1
independent classifiers;1
one-class support vector machine;1
prediction probabilities;1
body position;1
posture;1
computational approach;1
core components;2
explanatory power;1
health-care system;2
multi agent;3
policy makers;3
query-by example;2
ranking performance;1
research topics;4
retrieval performance;1
search system;2
similarity measure;4
user attention;1
chromophores;1
infrared devices;1
infrared radiation;1
organic carbon;1
particle size analysis;1
system-on-chip;1
preprocessing techniques;1
soc;1
soil property;2
spectra's;5
spectral chromophore;1
vis–nir;1
vnir/swir spectroscopy;1
soils;1
detection method;2
instrumentation;1
soil profile;1
agnostic;3
artificial ventilation;3
respiratory care;1
taiwan;1
graph algorithms;1
commonsense reasoning;3
human computer interfaces;2
interactive process;3
philosophical theory;2
software applications;1
cellular automaton;1
human behavior;1
participatory approach;1
computer vision problems;2
discriminative models;1
false positive rates;2
semi-supervised;2
medical informatics;11
biomedical domain;2
machine learning applications;4
semantic annotations;2
semantic integration;1
semantic similarity;4
automatic metrics;1
evaluation measures;1
subjective rating;1
critical systems;4
gradient-based method;3
pixel values;1
real problems;1
security domains;1
selective layers;1
time series classifications;6
taxicabs;1
imitation learning;2
local knowledge;1
novel component;1
preferred routes;1
traffic conditions;1
trajectory data;1
backpropagation;4
classification performance;10
iterative perturbation;1
joint architectures;1
predictive performance;9
real-world scenario;5
training process;1
explosives;1
foundations;1
biased explanations;1
cognitive diversity;1
explaining to diverse populations;2
fairness properties;1
gender diversity;1
societal implications;1
xai challenges;2
analogical reasoning;2
preference learning;1
electric power plant loads;4
evolutionary computation techniques;2
learning classifier system;2
rectangular shapes;1
visual classification;2
benchmark classification;1
linguistic summarization;1
safety critical applications;3
advanced technology;1
medical decision support system;2
sparse coding;2
component model;1
current problems;2
product design;3
agent-based systems;1
architectural domain;1
case based design;1
contextualization;3
design recommendations;1
quantitative experiments;1
end user programming;1
machine learning research;1
short history;2
symbolic machine learning;1
commercial vehicles;1
control system synthesis;1
human robot interaction;6
manufacture;2
accountability;13
automotive companies;1
human machine interaction;6
levels of automation;2
regulation;2
binary decision diagrams;1
python;1
contrastive explanation method for xai;1
decision criterions;1
decision-making process;24
end-users;27
model change;2
post-hoc explainability;1
text classifiers;2
xai interpretability of text classifier;1
codes (symbols);1
computer software selection and evaluation;2
errors;5
computation costs;2
computation time;4
defect prediction;2
evaluation results;4
open source system;1
source code lines;1
fuzzy clustering;3
acoustic marker;1
adaptive and evolving algorithm;1
bipolar disorder;1
fuzzy linguistic description;1
fuzzy linguistics;2
linguistic descriptions;3
linguistic summaries;1
semi-supervised fuzzy clustering;1
smart phones;3
smartphone monitoring;1
supervised fuzzy clustering;1
parkinsonism;1
dopamine plasma membrane transport proteins;1
parkinsonian disorders;1
retrospective studies;2
curing;1
alzheimers disease;5
brain cells;1
brain functions;1
disease analysis;1
layer wise relevance propagation;1
neurologic disorders;1
united states of america;1
vgg-16;1
classifier algorithms;1
data mining methods;2
diabetes mellitus;7
diabetes prediction;1
explainer;1
external factors;3
key attributes;1
recommendation;3
research papers;3
case-based reasoning systems;3
comparative tests;1
explanation-by-example;1
weighting methods;1
dermatology;6
classification framework;1
cleaning procedures;1
feature filtering;1
prediction problem;1
segmentation and clustering;1
generating system;1
user expectations;2
sewers;1
combined sewer overflows;1
goal-question-metric;1
public sector;2
software solution;1
central component;1
multimodalities;1
multiple modalities;1
semantic relations;1
visual objects;1
advanced cancer;1
cancer prognosis;2
cancer staging;1
chemoradiotherapy;2
clinical feature;2
comparative effectiveness;1
distant metastasis free survival;1
epstein barr virus;1
high risk patient;2
induction chemotherapy;1
nasopharynx carcinoma;2
predictive value;5
risk factor;5
tumor volume;2
epstein barr virus infection;1
nasopharynx tumor;1
epstein-barr virus infections;1
herpesvirus 4, human;1
nasopharyngeal carcinoma;1
nasopharyngeal neoplasms;1
seismic waves;1
atrial fibrillation;5
electrical activities;1
repetitive pattern;1
electric activity;1
isoelectric point;1
p wave;1
qrs complex;1
signal processing;7
sinus rhythm;1
inertial navigation systems;1
automatic feature selection;1
classification methods;2
kinematic analysis;1
spatial temporals;1
statistical parameters;1
wearable devices;1
quality of life;6
sarcopenia;5
walking;2
just in time production;1
defect model;2
explainable software analytic;1
just-in-time;1
just-in-time defect prediction;1
local rules;2
random perturbation approach;1
software quality assurance;1
competitive performance;1
disparate methods;1
research areas;8
sound and complete;2
theory and practice;2
adversarial attack;4
inference attacks;1
membership inference attack;1
model stealing;1
poisoning attacks;1
image recognition;7
activation maps;10
average gradient;2
convolutional networks;7
path integral;1
static var compensators;1
alzheimer;2
gene expression data;3
image processing - methods;1
k nearest neighbor (knn);2
microarray gene expression data;1
support vector classifiers;1
situational context;1
cams;3
computer aided design;1
assembly automation;1
automated design;1
cad data;1
gradient-weighted class activation mapping;4
layer-wise relevance propagation;7
neurocad;1
mobile security;3
android apps;1
android malware;3
cnn;4
elsevier;1
malware detection;5
op-code sequence;1
open access;1
nonintrusive load monitoring;1
text-based methods;1
time-series data;8
district heating;4
losses;3
safety valves;1
abnormal operation;1
anomaly detection models;2
differential pressures;1
district heating system;3
input variables;2
practical use;3
pressure differences;1
temperature control valve;1
empirical method;1
exponential growth;1
scientific knowledge;1
sea ice;1
active data;1
digital world;1
ethical issues;2
pattern languages;1
subgroup discovery;2
winner take alls;1
adoption process;1
cognitive architectures;3
cognitive capability;1
multi-agent programming;1
social human-robot interactions;1
theory of minds;2
user's profiles;3
concrete applications;1
database queries;1
forensic investigation;1
interactive platform;2
rapid deployments;2
technical support;1
evolutionary algorithms;1
satellites;1
underground cables;1
urban growth;2
high resolution satellite images;1
infrastructure planning;1
interval type-2 fls;1
real world operations;1
sensor technologies;1
type-2 fuzzy logic system;2
activity recognition;4
automation bias;2
interactive video;1
machine performance;1
system capabilities;1
video analysis;2
attribute-based;3
foreground objects;1
boolean circuit;1
input-output;1
knowledge compilation;1
density constraints;1
density estimator;1
efficient computation;4
formal definition;1
legal regulation;2
user friendly;5
individual systems;1
superpixels;3
watersheds;1
biological data;1
black box approach;4
end to end;6
agent based simulation;1
mann-whitney u test;1
package delivery;1
technical presentations;1
design decisions;1
explainable ml;1
meta information;3
provenance;1
biomarkers;4
specific heat;1
cancer genomics;1
gradcam;2
formal logic;6
first order logic;4
input layers;2
local prediction;1
local region;1
propositionalization;1
random selection;1
automated features;2
fuzzy classifiers;1
learning tasks;4
neurofuzzy system;2
practical method;1
differential equations;1
hybrid systems;1
testing;3
cooperative learning;1
gesture recognition system;1
hand shape recognition;1
hybrid dynamical systems;1
hybrid system models;1
kinematic equations;1
location recognition;1
movement analysis;1
decision problems;1
entry point;1
extended abstracts;1
general trends;1
generic approach;3
model based approach;1
mhealth;1
explainable reasoning;1
quantum chemistry;1
adaptation models;7
explainable machine learning;7
high-order;1
high-order explanation;1
higher-order;1
optimisations;8
taylor-series;1
geoai;1
geographically weighted regression;1
multi-scale geographically weighted regression;1
multi-scales;1
spatial statistical model;1
statistic modeling;2
model;3
software;4
spatial analysis;1
urban transport;1
chicago;1
illinois;1
quality management;3
semiconductor device manufacture;2
decision modeling;4
high nonlinear;1
higher-dimensional;2
process quality;1
semiconductor manufacturing;1
shap value method;1
value methods;1
power quality;1
deep-learning;1
energy;5
power;4
power quality disturbance;1
power quality disturbances;1
cardiac disorders;1
electrocardiogram wave;1
residual network;1
fourier transform;1
heart disease;2
heart infarction;1
stockwell transform;1
open data;3
power markets;3
day ahead market;1
electricity prices;2
electricity prices forecasting;1
european markets;1
forecast evaluation;1
open-access benchmark;1
openaccess;1
electricity;2
energy management;1
energy market;1
energy resource;1
price determination;1
credit scoring;4
augmented analytic;1
automated machine learning;3
hybrid model;1
series hybrids;1
time series decomposition;1
time series hybrid model;1
forecasting method;2
price dynamics;1
comorbidities;2
domain problems;3
dsml 3: development/pre-production: data science output have been rolled out/validated across multiple domain/problem;2
frailty;1
health care costs;1
multiple domains;3
pre-production;2
production data;2
readmission risk;1
automation integration;1
engineering application of artificial intelligence;1
engineering applications;1
human-automation integration;1
hybrid intelligence;2
hybrid intelligence system;1
intelligence systems;1
intelligent assistants;1
maintenance systems;1
electric power system stability;1
frequency stability;1
dsml 2: proof-of-concept: data science output have been formulated, implemented, and tested for one domain/problem;1
frequency;1
nadir;1
power system;1
rocof;1
economics;3
agricultural land;2
cropland;1
environmental factors;1
modelling framework;1
olive grove;1
socio-economic conditions;1
land use planning;1
plantation;1
regional climate;1
feedback;4
particle beams;1
multiple interpretations;1
recognition methods;1
recognition models;2
sensor data processing;1
single photon emission computed tomography images;1
nfr;1
requirement;1
trustworthiness;4
trustworthy systems;1
clinical observation;1
early intervention;1
early warning score;2
intensive care unit;4
mortality risk;1
probability;4
recurrent neural network;3
co-construction;2
current levels;1
regulatory initiatives;2
social designs;1
social process;2
technological advancement;1
human assessors;1
model free;2
gradient approach;1
neural networks architecture;1
performance metrics;4
statistical bias;1
bias;2
sars-cov-2;1
mining;3
biomedical text;1
semantic relationships;1
text mining;1
human relationships;1
social dialogue;1
frequent itemset mining;1
relevant relations;1
development strategies;1
intelligence decision;3
intelligent decision making;1
research and development;1
system applications;2
system information;1
transparent process;1
ethereum;1
centralized systems;1
cryptographic security;1
file systems;1
security analysis;1
storage and retrievals;1
storage limitation;1
real-life applications;1
structured argumentation;2
cyber physical system;2
perturbation techniques;5
self organizing maps;1
cyber physical systems (cpss);1
modern infrastructure;1
performance monitoring;1
safety critical systems;3
unsupervised machine learning;2
rating;2
analysis models;2
bankruptcy prediction;1
bankruptcy probability;1
credit ratings;3
regulatory systems;1
tree-based model;2
financial markets;3
market crisis;1
multi-agent environment;2
robust identification;1
model application;1
potential benefits;3
user's interest;1
design/methodology/approach;2
novel techniques;3
neural networks (nns);1
attack detection;5
automatic verification;1
border control;1
human inspectors;1
human operator;3
black box system;4
general methodologies;3
propositional logic;4
soft biometrics;1
specific problems;2
activity theory;1
individual levels;2
shared values;1
support vector regression;2
tree structures;1
impact analysis;1
inpainting;1
map quality;1
behavioural changes;1
reasoning algorithms;1
high complexity;1
human-friendly;3
human-centric;7
human-centric designs;1
fuzzy logic;4
fuzzy concept;1
human computer interaction interface;1
intelligent technology;1
research center;1
visual programming languages;1
small variations;1
biological neural networks;1
hidden layers;1
interactivity;2
medical decision supports;1
visual translation;1
alternating optimizations;1
dictionary learning;1
intelligent algorithms;1
objective assessment;1
optimal solutions;1
semantic embedding;1
semantic representation;2
visual intelligence;1
conceptual graph;2
computational medicine;1
early postoperative mortality;1
model understanding;3
personalized medicines;3
behavioral properties;2
cluster description;1
clustering methods;1
feasibility problem;1
ilp formulation;1
problem complexity;1
semi- supervised learning;1
argumentation-based models;1
extracting information;1
plan generation;1
planning goal;1
planning problem;2
tower of hanoi;1
citation recommendation;1
embeddings;16
human-computer trust;1
problems and solutions;1
semantic relatedness;1
similarity assessment;1
physical phenomena;2
physiological process;1
cooling water;1
desalination;1
distillation;3
flow of water;1
desalination systems;1
energy-driven;1
membrane desalination;1
renewable energies;1
waters managements;1
solubility;2
adaptive synthetic;1
c-sections;1
cesarean section;2
gas solubility;1
hgsorf;1
hyper-parameter optimizations;1
bayesian learning;5
demography;1
drug solubility;1
health survey;3
pakistan;1
staff;1
bayes theorem;8
newborn;2
infant, newborn;1
potable water;3
water supply;5
water supply systems;1
algal management;1
chlorophyll-a concentration;1
input variable selection;1
modeling performance;4
water quality;7
chlorophyll a;4
algal bloom;1
drinking water;2
measurement accuracy;2
process optimization;1
root mean squared error;2
water monitoring;1
music;3
block based;1
music recommendation;1
music recommender systems;2
recommendation accuracy;3
recommendation performance;1
local interpretability;1
maintenance decisions;1
model-agnostic interpretability;1
monotonicity;2
prognosability;1
trendability;1
audio;1
perceptual processing;1
vocal emotion;1
analysis and controls;1
artificial intelligence technologies;10
feature classification;1
power system model;1
probabilistic analysis;2
monte carlo methods;1
cooperative agents;1
cooperative strategy;1
multi-agent reinforcement learning;1
reinforcement learnings;14
theory concept;1
motor transportation;3
key factors;4
learning frameworks;6
multi tasks;2
property loss;1
risk factors;3
road users;1
traffic accident severities;1
traffic accident severity prediction;1
agile story point estimation;1
ai for se;1
estimation approaches;1
expert judgment;2
language model;4
point estimation;1
project estimation;1
transformer;5
taxonomies;6
anomaly explanation;2
classifieds;10
data mining community;1
outlier interpretation;2
real world situations;2
eye protection;4
activation patterns;1
data augmentation;7
diabetic retinopathy;7
effective solution;1
evidence-based medicine;1
retinal image;1
synthesized images;1
artificial network;1
computer model;1
diabetic retinopathy detection network;1
evidence based medicine;1
microaneurysm;1
nerve cell;1
network analysis;2
retina image;1
velocity;2
fundus oculi;1
computational modelling;18
computer self-efficacy;1
emotional corpora;1
tool and method of annotation for provision of emotional corpus;1
tools and methods;1
ensemble forecasting;2
north atlantic oscillation;1
weather forecasting;5
bavaria;1
germany;1
lisboa [portugal];1
lisbon;1
munich;1
disinformation;1
profit;1
gene expression profiling;4
metabolism;2
neoplasm;2
area under curve;1
biomarkers, tumor;1
databases, genetic;1
neoplasms;2
reproducibility of results;3
roc curve;2
key elements;1
monitoring techniques;1
neuro-fuzzy modeling;1
outcome prediction;2
predictive process monitoring;4
public organizations;1
clusterings;9
financial domains;2
military domains;1
space transformations;2
mammals;4
molecular structure;1
bio-marker discovery;1
imaging mass spectrometry;1
localised;1
molecular species;1
supervised machine learning;4
additives;2
animal;3
diagnostic test;1
mass spectrometry;2
mouse;1
rat;1
animals;3
biomedical research;1
diagnostic tests, routine;1
mice;1
activation value;1
cnn models;6
high reliability;2
input sample;2
interpretable ml;1
legal texts;1
complex datasets;1
decision tree modeling;1
white-box models;2
wear of materials;1
driver error;1
features vector;2
multivariate gaussian distributions;1
passengers vehicles;1
seat belt;1
user need;8
vehicle occupants;1
world wide web;1
data enrichments;1
demand forecasting;6
developed model;2
irregular demand;1
modeling features;2
sensitive informations;1
amyotrophic lateral sclerosis;3
incurable disease;1
informal caregivers;1
neurodegenerative;2
false positive;2
software vulnerabilities;1
systematic experiment;1
vulnerability detection;3
automatic classification;2
efficient analysis;1
image-analysis;2
large database;1
industrial process plant;1
multivariate time series;6
multivariate time-series data;1
neural network architecture;1
process plants;2
feature aggregation;1
issue visualizations;1
lower resolution;2
